nomor,word,frekuensi,ln
1901,bahaya,5,-8.465 
1902,hope,3,-8.871 
1903,baju,49,-6.345 
1904,rajin,8,-8.060 
1905,pakek,11,-7.772 
1906,bayar,8,-8.060 
1907,halilintar,15,-7.485 
1908,pipi,16,-7.424 
1909,otw,5,-8.465 
1910,kuah,6,-8.311 
1911,siar,4,-8.648 
1912,ngiler,23,-7.079 
1913,umbar,8,-8.060 
1914,lepas,14,-7.549 
1915,kakkkk,4,-8.648 
1916,rezeki,3,-8.871 
1917,rissa,14,-7.549 
1918,niup,11,-7.772 
1919,rujuk,6,-8.311 
1920,apr,4,-8.648 
1921,first,4,-8.648 
1922,niupin,3,-8.871 
1923,sapa,6,-8.311 
1924,search,4,-8.648 
1925,mh,3,-8.871 
1926,mbak,35,-6.674 
1927,dosa,5,-8.465 
1928,vlog,158,-5.188 
1929,chenel,4,-8.648 
1930,cntik,5,-8.465 
1931,cepet,24,-7.038 
1932,tai,4,-8.648 
1933,kg,7,-8.178 
1934,putih,28,-6.890 
1935,pling,4,-8.648 
1936,bodoh,4,-8.648 
1937,rotan,4,-8.648 
1938,welcome,4,-8.648 
1939,samawa,4,-8.648 
1940,wilo,4,-8.648 
1941,regisca,21,-7.166 
1942,musti,3,-8.871 
1943,motivasi,6,-8.311 
1944,besok,6,-8.311 
1945,wilona,72,-5.967 
1946,indra,6,-8.311 
1947,diet,3,-8.871 
1948,suci,7,-8.178 
1949,yaelah,3,-8.871 
1950,gritte,11,-7.772 
1951,thumbnail,6,-8.311 
1952,gen,5,-8.465 
1953,jaya,3,-8.871 
1954,hakim,11,-7.772 
1955,gula,4,-8.648 
1956,trus,44,-6.450 
1957,fokus,16,-7.424 
1958,nginep,4,-8.648 
1959,challenge,19,-7.261 
1960,goblin,4,-8.648 
1961,ato,6,-8.311 
1962,njir,7,-8.178 
1963,parahh,4,-8.648 
1964,gemuk,3,-8.871 
1965,soundtrack,9,-7.955 
1966,masak,14,-7.549 
1967,ngerasain,3,-8.871 
1968,view,4,-8.648 
